size,block,warmup,iters,kernel_ms_median,e2e_ms_median,GB_per_s,correct,max_abs_error,max_rel_error,first_mismatch
1024,64,20,50,0.004384,0.147550,2.80,PASS,0.00e+00,0.00e+00,none
1024,128,20,50,0.004432,0.142200,2.77,PASS,0.00e+00,0.00e+00,none
1024,256,20,50,0.004416,0.138700,2.78,PASS,0.00e+00,0.00e+00,none
65536,64,20,50,0.005376,0.309150,146.29,PASS,0.00e+00,0.00e+00,none
65536,128,20,50,0.005328,0.298800,147.60,PASS,0.00e+00,0.00e+00,none
65536,256,20,50,0.005344,0.304500,147.16,PASS,0.00e+00,0.00e+00,none
1000003,64,20,50,0.026560,2.072150,451.81,PASS,0.00e+00,0.00e+00,none
1000003,128,20,50,0.026416,2.034550,454.27,PASS,0.00e+00,0.00e+00,none
1000003,256,20,50,0.026496,2.022600,452.90,PASS,0.00e+00,0.00e+00,none
4194304,64,20,50,0.096256,9.067900,522.89,PASS,0.00e+00,0.00e+00,none
4194304,128,20,50,0.096192,9.317101,523.24,PASS,0.00e+00,0.00e+00,none
4194304,256,20,50,0.096080,9.423700,523.85,PASS,0.00e+00,0.00e+00,none
16777217,64,20,50,0.379376,39.312698,530.68,PASS,0.00e+00,0.00e+00,none
16777217,128,20,50,0.374288,39.871552,537.89,PASS,0.00e+00,0.00e+00,none
16777217,256,20,50,0.373872,39.088303,538.49,PASS,0.00e+00,0.00e+00,none
