variant,size,block,warmup,iters,kernel_ms_median,GB_per_s,correct,max_abs_error,max_rel_error,first_mismatch
contiguous,1000003,64,20,50,0.026352,455.37,PASS,2.38e-07,1.19e-07,none
contiguous,1000003,128,20,50,0.026144,459.00,PASS,2.38e-07,1.19e-07,none
contiguous,1000003,256,20,50,0.026240,457.32,PASS,2.38e-07,1.19e-07,none
contiguous,4194304,64,20,50,0.095088,529.32,PASS,2.38e-07,1.19e-07,none
contiguous,4194304,128,20,50,0.095024,529.67,PASS,2.38e-07,1.19e-07,none
contiguous,4194304,256,20,50,0.095056,529.49,PASS,2.38e-07,1.19e-07,none
contiguous,16777217,64,20,50,0.366144,549.86,PASS,2.38e-07,1.19e-07,none
contiguous,16777217,128,20,50,0.366800,548.87,PASS,2.38e-07,1.19e-07,none
contiguous,16777217,256,20,50,0.366816,548.85,PASS,2.38e-07,1.19e-07,none
strided,1000003,64,20,50,0.081472,147.29,PASS,2.38e-07,1.19e-07,none
strided,1000003,128,20,50,0.072608,165.27,PASS,2.38e-07,1.19e-07,none
strided,1000003,256,20,50,0.069632,172.34,PASS,2.38e-07,1.19e-07,none
strided,4194304,64,20,50,0.337824,148.99,PASS,2.38e-07,1.19e-07,none
strided,4194304,128,20,50,0.311648,161.50,PASS,2.38e-07,1.19e-07,none
strided,4194304,256,20,50,0.306288,164.33,PASS,2.38e-07,1.19e-07,none
strided,16777217,64,20,50,2.475840,81.32,PASS,2.38e-07,1.19e-07,none
strided,16777217,128,20,50,2.226272,90.43,PASS,2.38e-07,1.19e-07,none
strided,16777217,256,20,50,1.641056,122.68,PASS,2.38e-07,1.19e-07,none
float4,1000003,64,20,50,0.020800,576.92,PASS,2.38e-07,1.19e-07,none
float4,1000003,128,20,50,0.020960,572.52,PASS,2.38e-07,1.19e-07,none
float4,1000003,256,20,50,0.021488,558.45,PASS,2.38e-07,1.19e-07,none
float4,4194304,64,20,50,0.095552,526.75,PASS,2.38e-07,1.19e-07,none
float4,4194304,128,20,50,0.095616,526.39,PASS,2.38e-07,1.19e-07,none
float4,4194304,256,20,50,0.095472,527.19,PASS,2.38e-07,1.19e-07,none
float4,16777217,64,20,50,0.372208,540.90,PASS,2.38e-07,1.19e-07,none
float4,16777217,128,20,50,0.370864,542.86,PASS,2.38e-07,1.19e-07,none
float4,16777217,256,20,50,0.370800,542.95,PASS,2.38e-07,1.19e-07,none
