variant,height,width,elements,warmup,iters,kernel_ms_median,GB_per_s,correct,max_abs_error,max_rel_error,first_mismatch
naive,3,5,15,20,50,0.004192,0.03,PASS,0.00e+00,0.00e+00,none
naive,17,19,323,20,50,0.004320,0.60,PASS,0.00e+00,0.00e+00,none
naive,1003,769,771307,20,50,0.045792,134.75,PASS,0.00e+00,0.00e+00,none
naive,2048,2048,4194304,20,50,0.204496,164.08,PASS,0.00e+00,0.00e+00,none
naive,4096,4096,16777216,20,50,0.819200,163.84,PASS,0.00e+00,0.00e+00,none
tiled,3,5,15,20,50,0.004368,0.03,PASS,0.00e+00,0.00e+00,none
tiled,17,19,323,20,50,0.004576,0.56,PASS,0.00e+00,0.00e+00,none
tiled,1003,769,771307,20,50,0.025808,239.09,PASS,0.00e+00,0.00e+00,none
tiled,2048,2048,4194304,20,50,0.110592,303.41,PASS,0.00e+00,0.00e+00,none
tiled,4096,4096,16777216,20,50,0.421056,318.76,PASS,0.00e+00,0.00e+00,none
padded,3,5,15,20,50,0.004352,0.03,PASS,0.00e+00,0.00e+00,none
padded,17,19,323,20,50,0.004240,0.61,PASS,0.00e+00,0.00e+00,none
padded,1003,769,771307,20,50,0.012448,495.70,PASS,0.00e+00,0.00e+00,none
padded,2048,2048,4194304,20,50,0.067600,496.37,PASS,0.00e+00,0.00e+00,none
padded,4096,4096,16777216,20,50,0.291824,459.93,PASS,0.00e+00,0.00e+00,none
