operation,variant,N,block,rounds,warmup,iters,pipeline_ms_median,speedup_vs_shared,M_elements_per_s,effective_GB_per_s,reference,result,abs_error,correct
sum,shared,1003,32,2,20,50,0.007312,1.000,137.172,0.584,-4.243378401,-4.243378162,2.384185791e-07,PASS
sum,warp,1003,32,2,20,50,0.006752,1.083,148.549,0.633,-4.243378401,-4.243378162,2.384185791e-07,PASS
sum,shared,1003,64,2,20,50,0.007200,1.000,139.306,0.576,-4.243378401,-4.243379593,1.192092896e-06,PASS
sum,warp,1003,64,2,20,50,0.006704,1.074,149.612,0.618,-4.243378401,-4.243379593,1.192092896e-06,PASS
sum,shared,1003,128,2,20,50,0.007488,1.000,133.948,0.545,-4.243378401,-4.243378639,2.384185791e-07,PASS
sum,warp,1003,128,2,20,50,0.006768,1.106,148.197,0.603,-4.243378401,-4.243378639,2.384185791e-07,PASS
sum,shared,1003,256,2,20,50,0.007872,1.000,127.414,0.514,-4.243378401,-4.243378639,2.384185791e-07,PASS
sum,warp,1003,256,2,20,50,0.007440,1.058,134.812,0.544,-4.243378401,-4.243378639,2.384185791e-07,PASS
sum,shared,100003,32,4,20,50,0.015776,1.000,6338.932,26.993,-372.549859643,-372.549804688,5.495548248e-05,PASS
sum,warp,100003,32,4,20,50,0.014304,1.103,6991.261,29.771,-372.549859643,-372.549804688,5.495548248e-05,PASS
sum,shared,100003,64,3,20,50,0.012000,1.000,8333.583,34.393,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,warp,100003,64,3,20,50,0.010736,1.118,9314.736,38.443,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,shared,100003,128,3,20,50,0.012064,1.000,8289.374,33.681,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,warp,100003,128,3,20,50,0.010272,1.174,9735.495,39.557,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,shared,100003,256,3,20,50,0.012400,1.000,8064.758,32.513,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,warp,100003,256,3,20,50,0.010768,1.152,9287.054,37.441,-372.549859643,-372.549865723,6.079673767e-06,PASS
sum,shared,1048576,32,4,20,50,0.058880,1.000,17808.695,75.831,-219.483770370,-219.483856201,8.583068848e-05,PASS
sum,warp,1048576,32,4,20,50,0.043568,1.351,24067.572,102.481,-219.483770370,-219.483856201,8.583068848e-05,PASS
sum,shared,1048576,64,4,20,50,0.036576,1.000,28668.417,118.314,-219.483770370,-219.483795166,2.479553223e-05,PASS
sum,warp,1048576,64,4,20,50,0.026784,1.366,39149.342,161.569,-219.483770370,-219.483795166,2.479553223e-05,PASS
sum,shared,1048576,128,3,20,50,0.032832,1.000,31937.621,129.762,-219.483770370,-219.483764648,5.722045898e-06,PASS
sum,warp,1048576,128,3,20,50,0.022608,1.452,46380.749,188.445,-219.483770370,-219.483764648,5.722045898e-06,PASS
sum,shared,1048576,256,3,20,50,0.035584,1.000,29467.627,118.795,-219.483770370,-219.483825684,5.531311035e-05,PASS
sum,warp,1048576,256,3,20,50,0.024480,1.454,42833.987,172.680,-219.483770370,-219.483825684,5.531311035e-05,PASS
sum,shared,16777216,32,5,20,50,0.803584,1.000,20877.987,88.900,-2778.146505475,-2778.146240234,2.652406693e-04,PASS
sum,warp,16777216,32,5,20,50,0.606992,1.324,27639.929,117.693,-2778.146505475,-2778.146240234,2.652406693e-04,PASS
sum,shared,16777216,64,4,20,50,0.405504,1.000,41373.739,170.749,-2778.146505475,-2778.146484375,2.110004425e-05,PASS
sum,warp,16777216,64,4,20,50,0.302720,1.340,55421.563,228.724,-2778.146505475,-2778.146484375,2.110004425e-05,PASS
sum,shared,16777216,128,4,20,50,0.394400,1.000,42538.580,172.834,-2778.146505475,-2778.145996094,5.093812943e-04,PASS
sum,warp,16777216,128,4,20,50,0.252400,1.563,66470.742,270.070,-2778.146505475,-2778.145996094,5.093812943e-04,PASS
sum,shared,16777216,256,3,20,50,0.435584,1.000,38516.602,155.275,-2778.146505475,-2778.146728516,2.230405807e-04,PASS
sum,warp,16777216,256,3,20,50,0.282816,1.540,59322.020,239.149,-2778.146505475,-2778.146728516,2.230405807e-04,PASS
max,shared,1003,32,2,20,50,0.007184,1.000,139.616,0.595,0.996948123,0.996948123,0.000000000e+00,PASS
max,warp,1003,32,2,20,50,0.006720,1.069,149.256,0.636,0.996948123,0.996948123,0.000000000e+00,PASS
max,shared,1003,64,2,20,50,0.007232,1.000,138.689,0.573,0.996948123,0.996948123,0.000000000e+00,PASS
max,warp,1003,64,2,20,50,0.006656,1.087,150.691,0.623,0.996948123,0.996948123,0.000000000e+00,PASS
max,shared,1003,128,2,20,50,0.007328,1.000,136.872,0.557,0.996948123,0.996948123,0.000000000e+00,PASS
max,warp,1003,128,2,20,50,0.006752,1.085,148.549,0.604,0.996948123,0.996948123,0.000000000e+00,PASS
max,shared,1003,256,2,20,50,0.007840,1.000,127.934,0.516,0.996948123,0.996948123,0.000000000e+00,PASS
