Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
28717008,357372,233,,,,,,,,,,4.194,11735.663,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,13,[CUDA memcpy Host-to-Device]
29075500,349787,238,,,,,,,,,,4.194,11987.321,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,14,[CUDA memcpy Host-to-Device]
29426407,356636,243,,,,,,,,,,4.194,11756.634,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,15,[CUDA memcpy Host-to-Device]
29784163,362844,248,,,,,,,,,,4.194,11559.502,Pinned,Device,NVIDIA GeForce RTX 2080 Ti (0),1,,16,[CUDA memcpy Host-to-Device]
30408092,17055,235,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,13,"simpleKernel(const float *, float *, int)"
30422332,17695,250,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,16,"simpleKernel(const float *, float *, int)"
30438747,17824,245,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,15,"simpleKernel(const float *, float *, int)"
30455131,17632,240,4096,1,1,256,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 Ti (0),1,,14,"simpleKernel(const float *, float *, int)"
30622105,377916,237,,,,,,,,,,4.194,11098.128,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,13,[CUDA memcpy Device-to-Host]
31001269,349819,242,,,,,,,,,,4.194,11987.321,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,14,[CUDA memcpy Device-to-Host]
31352336,349948,247,,,,,,,,,,4.194,11983.127,Device,Pinned,NVIDIA GeForce RTX 2080 Ti (0),1,,15,[CUDA memcpy Device-to-Host]
